time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
2.0900,-0.7068,-2.8061,-2.8199,-2.8217,-2.6822,-2.6470,-3.0226,-3.1742,-3.0633,-3.0227
2.1000,-0.7603,-2.8280,-2.8156,-2.8257,-2.6668,-2.6316,-3.0212,-3.1741,-3.0691,-3.0245
2.1100,-0.8092,-2.7713,-2.7938,-2.8123,-2.6421,-2.5999,-3.0011,-3.1544,-3.0560,-3.0075
2.1200,-0.8530,-2.7583,-2.7547,-2.7818,-2.5942,-2.5520,-2.9623,-3.1152,-3.0240,-2.9720
2.1300,-0.8915,-2.6675,-2.6985,-2.7342,-2.5355,-2.4882,-2.9052,-3.0566,-2.9733,-2.9181
2.1400,-0.9244,-2.6208,-2.6256,-2.6698,-2.4562,-2.4090,-2.8302,-2.9792,-2.9042,-2.8461
2.1500,-0.9516,-2.4974,-2.5364,-2.5891,-2.3668,-2.3147,-2.7376,-2.8833,-2.8172,-2.7566
2.1600,-0.9729,-2.4187,-2.4315,-2.4925,-2.2581,-2.2060,-2.6281,-2.7696,-2.7128,-2.6500
2.1700,-0.9881,-2.2650,-2.3115,-2.3807,-2.1382,-2.0836,-2.5023,-2.6387,-2.5917,-2.5271
2.1800,-0.9971,-2.1572,-2.1773,-2.2544,-2.0028,-1.9483,-2.3611,-2.4916,-2.4546,-2.3886
2.1900,-1.0000,-1.9763,-2.0295,-2.1143,-1.8574,-1.8008,-2.2052,-2.3290,-2.3023,-2.2353
2.2000,-0.9966,-1.8427,-1.8692,-1.9612,-1.6987,-1.6421,-2.0358,-2.1520,-2.1359,-2.0683
2.2100,-0.9871,-1.6383,-1.6973,-1.7962,-1.5296,-1.4731,-1.8537,-1.9618,-1.9563,-1.8885
2.2200,-0.9713,-1.4831,-1.5149,-1.6203,-1.3516,-1.2950,-1.6602,-1.7594,-1.7646,-1.6971
2.2300,-0.9496,-1.2595,-1.3232,-1.4346,-1.1647,-1.1089,-1.4565,-1.5462,-1.5622,-1.4952
